2,2_ChenFlurMukhopadhyay-SAS2012-Ex2.08.bpl,3,0,0,3.26
1,1_LeikeHeizmann-TACAS2014-Ex9.bpl,0,3,0,3.24
1,1_ChenFlurMukhopadhyay-SAS2012-Ex2.10.bpl,1,2,0,3.08
1,1_PastaA8_false-no-overflow_true-termination.bpl,2,1,0,3.0
2,2_2.bpl,3,0,0,2.92
1,1_LeikeHeizmann-TACAS2014-Ex1.bpl,0,3,0,3.31
1,1_Copenhagen.bpl,0,3,0,5.47
3,3_ChenFlurMukhopadhyay-SAS2012-Ex3.03.bpl,0,0,3,3.22
1,1_PodelskiRybalchenko-TACAS2011-Fig1.bpl,3,0,0,2.88
1,1_ChenFlurMukhopadhyay-SAS2012-Ex2.07.bpl,2,1,0,3.64
1,1_b.03_assume_false-no-overflow.bpl,2,1,0,2.96
1,1_171.bpl,0,3,0,3.41
1,1_151.bpl,1,2,0,2.89
2,2_144.bpl,3,0,0,9.62
1,1_55.bpl,0,3,0,6.3
1,1_167.bpl,0,3,0,2.9
2,2_126.bpl,2,0,1,2.84
1,1_PastaC7.bpl,0,3,0,3.39
2,2_2Nested-2.bpl,3,0,0,15.9
1,1_a.09_assume.bpl,3,0,0,2.92
2,2_ChenFlurMukhopadhyay-SAS2012-Ex3.05.bpl,3,0,0,2.75
1,1_61.bpl,0,3,0,9.99
2,2_73.bpl,3,0,0,9.64
1,1_158.bpl,1,2,0,9.72
1,1_PastaA7.bpl,3,0,0,8.6
1,1_162.bpl,0,3,0,9.13
2,2_157.bpl,3,0,0,8.24
1,1_133.bpl,1,2,0,3.21
1,1_149.bpl,0,3,0,4.05
1,1_b.04.bpl,0,3,0,7.33
1,1_PastaB7.bpl,3,0,0,10.23
2,2_67.bpl,2,0,1,8.3
1,1_159.bpl,0,3,0,8.83
2,2_ChenFlurMukhopadhyay-SAS2012-Ex2.13.bpl,2,0,1,3.16
1,1_115.bpl,2,1,0,5.68
3,3_68.bpl,0,0,3,3.3
1,1_150.bpl,0,3,0,3.96
1,1_164.bpl,0,3,0,3.75
2,2_ChenFlurMukhopadhyay-SAS2012-Ex2.16.bpl,3,0,0,8.23
2,2_LeikeHeizmann-TACAS2014-Fig1.bpl,3,0,0,8.13
1,1_83.bpl,3,0,0,4.27
1,1_PastaB6.bpl,3,0,0,2.72
1,1_30.bpl,0,3,0,3.01
1,1_148.bpl,0,3,0,4.5
1,1_36.bpl,3,0,0,4.38
2,2_72.bpl,3,0,0,4.34
1,1_Waldkirch.bpl,3,0,0,8.94
1,1_PastaA6_false-no-overflow_true-termination.bpl,2,1,0,2.81
1,1_166.bpl,0,3,0,2.56
1,1_PastaA4.bpl,3,0,0,2.7
4,4_4NestedWith3Variables-2.bpl,0,0,3,2.99
1,1_52.bpl,3,0,0,10.28
1,1_WhileDecr.bpl,3,0,0,2.86
1,1_PastaA5_false-no-overflow_true-termination.bpl,3,0,0,3.74
4,4_AliasDarteFeautrierGonnord-SAS2010-exmini.bpl,0,0,3,3.87
1,1_PastaB2.bpl,3,0,0,3.51
2,2_156.bpl,3,0,0,2.57
1,1_PastaC7_false-no-overflow.bpl,1,2,0,3.71
1,1_PastaB4.bpl,0,3,0,9.06
1,1_1.bpl,0,3,0,3.75
1,1_168.bpl,1,2,0,3.23
1,1_a.09_assume_false-no-overflow.bpl,3,0,0,3.21
1,1_163.bpl,0,3,0,2.7
2,2_154.bpl,2,0,1,4.26
1,1_152.bpl,0,3,0,3.3
1,1_57.bpl,2,1,0,8.13
1,1_132.bpl,1,2,0,3.83
2,2_ChenFlurMukhopadhyay-SAS2012-Ex3.04.bpl,3,0,0,8.43
1,1_b.03_assume.bpl,2,1,0,9.84
4,4_7.bpl,0,0,3,13.55
1,1_153.bpl,0,3,0,3.26
1,1_GulavaniGulwani-CAV2008-Fig1c.bpl,3,0,0,8.9
1,1_165.bpl,2,1,0,3.87
1,1_PastaB11_false-no-overflow_true-termination.bpl,3,0,0,3.79
1,1_PastaB1.bpl,3,0,0,3.04
1,1_160.bpl,0,3,0,3.47
2,2_AliasDarteFeautrierGonnord-SAS2010-terminate.bpl,1,0,2,2.83
2,2_ColonSipma-TACAS2001-Fig1.bpl,3,0,0,7.0
2,2_ChenFlurMukhopadhyay-SAS2012-Ex2.01.bpl,3,0,0,2.83
1,1_58.bpl,2,1,0,3.06
2,2_66.bpl,3,0,0,2.85
1,1_29.bpl,0,3,0,3.37
1,1_127.bpl,0,3,0,4.16
1,1_161.bpl,1,2,0,8.6
2,2_51.bpl,1,0,2,3.38
